content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,content_age_days,days_since_last_update,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,trend_pct,age_tier,age_tier_order,freshness_tier,word_count_tier,char_count_tier,impression_tier,position_tier,trend_direction,is_declining_label,is_missing_position,is_missing_keyword_context,is_missing_word_count,log_impressions_90d,log_clicks_90d,log_sessions_90d,engaged_session_ratio,click_to_session_ratio,ml_opportunity_probability,opportunity_score,priority,action,primary_reason,confidence,queue_rank
content_cf56e2e2e282,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,5125.0,33705.0,,gemini-2.5-flash,231,194,61678,94,141,119,111,1,0,34,88,55,3864,13,10,26791,28,36,0.15,19.7,0.84,24.11,0.0,-85.6,181-365,5,181+,3500+,25000+,excellent,striking,down,1,0,1,0,11.02969879539502,4.553876891600541,4.787491742782046,0.0084033613445378,1.2659574468085106,0.8363,84.5,CRITICAL,OPTIMIZE,High-Value Asset Under Pressure,0.87,1
content_d0cc5baa4995,client_19581e27de,10.0,0.19,LOW,0.0,keyword article,transactional,0.0,0.0,,,148,104,83651,28,71,69,68,1,0,15,88,40,18137,5,33,27646,12,24,0.03,6.6,1.45,21.13,0.0,-34.4,91-180,4,91-180,unknown,unknown,excellent,page_1,down,1,0,0,1,11.334420615274398,3.367295829986474,4.248495242049359,0.0144927536231884,2.4642857142857144,0.8431,81.9,CRITICAL,OPTIMIZE,High-Value Asset Under Pressure,0.87,2
content_66458ac1b739,client_8527a891e2,10.0,0.13,LOW,0.05,keyword article,transactional,1506.0,9570.0,,gpt-4o-mini,223,102,6822,2,3,3,3,0,0,0,86,3,148,0,0,697,0,1,0.03,2.9,0.0,0.0,0.0,-78.8,181-365,5,91-180,1000-2000,8000-15000,good,top_3,down,1,0,0,0,8.828054536815424,1.0986122886681098,1.3862943611198906,0.0,1.5,0.937,81.6,CRITICAL,OPTIMIZE,High-Value Asset Under Pressure,0.92,3
content_9d9905bcb297,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,transactional,3963.0,26187.0,,gemini-2.5-flash,141,20,45127,60,73,62,60,0,0,23,88,38,3472,29,32,13726,12,13,0.13,12.3,0.0,31.51,0.0,-74.7,91-180,4,0-30,3500+,25000+,excellent,striking,down,1,0,1,0,10.717258175419811,4.110873864173311,4.143134726391533,0.0,1.0333333333333334,0.9187,81.1,CRITICAL,OPTIMIZE,High-Value Asset Under Pressure,0.91,4
content_1f080331fa2b,client_3fdba35f04,480.0,0.54,MEDIUM,0.3,keyword article,informational,1404.0,9005.0,,gpt-4o-mini,165,104,12834,6,85,66,66,0,0,9,88,28,1489,1,8,3004,1,8,0.05,6.8,0.0,10.59,0.0,-50.4,91-180,4,91-180,1000-2000,8000-15000,good,page_1,down,1,0,0,0,9.45993109330524,1.9459101490553128,4.204692619390966,0.0,10.0,0.8947,81.1,CRITICAL,OPTIMIZE,High-Value Asset Under Pressure,0.9,5
content_cbdf5a78dcd0,client_19581e27de,110.0,0.14,LOW,0.09,keyword article,transactional,3187.0,21641.0,google,gemini-3-flash-preview,126,104,14830,3,4,4,4,0,0,0,88,4,3896,2,2,1371,0,2,0.02,2.4,0.0,0.0,0.0,184.2,91-180,4,91-180,2000-3500,15000-25000,good,top_3,up,0,0,0,0,9.604474863741965,1.3862943611198906,1.6094379124341005,0.0,1.3333333333333333,0.8696,80.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,6
content_e9b83bea7976,client_3fdba35f04,10.0,0.0,LOW,0.0,keyword article,informational,1316.0,8467.0,,gpt-4o-mini,165,104,15616,9,101,93,93,0,0,18,88,22,5003,4,10,5572,3,6,0.06,8.8,0.0,17.82,0.0,-10.2,91-180,4,91-180,1000-2000,8000-15000,good,page_1,stable,0,0,0,0,9.656115343487846,2.302585092994046,4.543294782270004,0.0,10.0,0.8739,80.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.89,7
content_f9d82e71e363,client_19581e27de,20.0,0.58,MEDIUM,3.07,keyword article,transactional,0.0,0.0,,,153,104,24260,19,50,44,41,0,1,1,88,26,2867,4,17,4613,4,18,0.08,2.0,0.0,2.0,2.27,-37.8,91-180,4,91-180,unknown,unknown,good,top_3,down,1,0,0,1,10.096625401763932,2.995732273553991,3.80666248977032,0.0,2.3157894736842106,0.8532,80.5,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.88,8
content_0a91db491d14,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,3478.0,21948.0,,gemini-2.5-flash,231,193,13299,65,91,78,73,4,0,38,88,48,2246,17,15,4662,23,32,0.49,10.5,5.13,41.76,0.0,-51.8,181-365,5,181+,2000-3500,15000-25000,good,striking,down,1,0,1,0,9.495519314209846,4.189654742026425,4.3694478524670215,0.0512820512820512,1.2,0.8727,80.4,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.89,9
content_c2ac8518bb1f,client_7f2253d7e2,0.0,0.0,LOW,0.0,keyword article,informational,4597.0,30714.0,,gemini-2.5-flash,141,20,35150,84,99,74,72,0,1,31,88,45,2449,13,14,9944,23,22,0.24,18.5,0.0,31.31,1.35,-75.4,91-180,4,0-30,3500+,25000+,excellent,striking,down,1,0,1,0,10.467408346336263,4.442651256490317,4.31748811353631,0.0,0.8809523809523809,0.9314,80.3,HIGH,OPTIMIZE,High-Value Asset Under Pressure,0.92,10
